"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PSU1";"TerminalBlock_simple-2_P5.08mm";1;"3.9 - 17V adapter 3-5A";;;
2;"J2";"TerminalBlock_simple-2_P5.08mm";1;"1s LiPo";;;
3;"J9,J8";"TerminalBlock_simple-2_P5.08mm";2;"3.3V 4A";;;
4;"U3,U2";"WSON-14-1EP_4.0x4.0mm_P0.5mm_EP2.6x2.6mmThermalPads";2;"TPS63020";;;
5;"CPSU2,CPSU1,CBTST1,CBUS1,CBUS2,CBUS3,CBUS4,CBUS5,CBUS8,CREGN1";"C_1206_3216Metric";10;"1uF";;;
6;"CSYS3,CSYS4,CBAT1,CPMID1,CSYS1,CSYS2";"C_1206_3216Metric";6;"10uF";;;
7;"FBEAD2,FBEAD3";"L_Neosid_MicroCoil_Ms36-L";2;"10E";;;
8;"L2,L3";"L_Coilcraft_XxL4020";2;"1.5uH 4A";;;
9;"R12,R14,R23,R24";"R_1206_3216Metric";4;"1M";;;
10;"R13,R15";"R_1206_3216Metric";2;"180K";;;
11;"R16,R17,R1,R2,R3,R6,THERMISTOR(103-AT)1,R18";"R_1206_3216Metric";8;"10K";;;
12;"RBTST1";"R_1206_3216Metric";1;"R";;;
13;"C8,C9,C3,C4,C10,C5,C7,C6";"C_1206_3216Metric";8;"22uF";;;
14;"C1,C2,CBUS7";"C_1206_3216Metric";3;"0.1uF";;;
15;"D1,D2,D4,D5";"LED_1206_3216Metric";4;"Led";;;
16;"R4,R5,R8,R9,R11,R21,R22";"R_1206_3216Metric";7;"2K2";;;
17;"R7";"R_1206_3216Metric";1;"265";;;
18;"R10";"R_1206_3216Metric";1;"6K8";;;
19;"L1";"L_Coilcraft_XxL4020";1;"2.2uH 4A";;;
20;"IC1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias";1;"BQ24193";;;
21;"D3,D6";"D_SOD-128";2;"RBR5LAM40A";;;
22;"J6";"USB_Micro-B_Molex-105133-0031";1;"USB_OTG_female";;;
23;"U1";"SOP-16_4.4x10.4mm_P1.27mm";1;"PAM8403-SOP16";;;
24;"J1";"PinSocket_1x03_P2.54mm_Horizontal";1;"AudioIN";;;
25;"J4";"PinSocket_1x04_P2.54mm_Horizontal";1;"AudioOUT";;;
26;"J7";"PinHeader_1x06_P2.54mm_Horizontal";1;"host (promicro)";;;
27;"R19,R20";"R_1206_3216Metric";2;"0";;;
28;"J3";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"thermistor";;;
29;"J10,J11";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";2;"3.3V/5V";;;
30;"R25,R26";"R_1206_3216Metric";2;"270K";;;
31;"SW2,SW3";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";2;"SW_SPST";;;
32;"J5";"USB_A_CNCTech_1001-011-01101_Horizontal-Female";1;"USB_A_female";;;
